,drug,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,"DRG1,DRG2",0.0,0.0,0.0,9.5,9.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5
1,"DRG1,DRG3",0.0,0.0,9.5,0.0,9.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5
2,"DRG1,DRG4",0.0,0.0,9.5,9.5,0.0,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5
3,"DRG1,DRG5",0.0,0.0,0.0,1.5,1.5,0.0,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5
4,"DRG1,DRG6",0.0,0.0,9.5,9.5,9.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5
5,"DRG1,DRG7",0.0,0.0,0.0,1.5,1.5,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5
6,"DRG1,DRG8",0.0,0.0,9.5,9.5,9.5,9.5,9.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,5.5,5.5,5.5,0.5,1.0,1.0,1.0,1.0,1.0
7,"DRG1,DRG9",0.0,0.0,7.5,7.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5
8,"DRG1,DRG10",0.0,0.0,3.5,3.5,3.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5
9,"DRG1,DRG11",0.0,0.0,7.0,7.0,7.0,7.0,7.0,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5
10,"DRG1,DRG12",0.0,0.0,7.5,7.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5
11,"DRG1,DRG13",0.0,0.0,3.5,3.5,3.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5
