,drug vector,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0 0 0 0 0 0 0,0.0,9.5,9.5,9.5,9.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1,0 0 0 0 0 0 1,0.5,9.5,9.5,9.5,9.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
2,0 0 0 0 0 1 0,0.5,9.5,9.5,9.5,9.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
3,0 0 0 0 0 1 1,0.5,9.5,9.5,9.5,9.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
4,0 0 0 0 1 0 0,1.5,9.5,9.5,9.5,9.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
5,0 0 0 0 1 0 1,0.5,9.5,9.5,9.5,9.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
6,0 0 0 0 1 1 0,0.5,9.5,9.5,9.5,9.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
7,0 0 0 0 1 1 1,0.5,9.5,9.5,9.5,9.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
8,0 0 0 1 0 0 0,1.5,3.5,3.5,3.5,3.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
9,0 0 0 1 0 0 1,0.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
10,0 0 0 1 0 1 0,0.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
11,0 0 0 1 0 1 1,0.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
12,0 0 0 1 1 0 0,1.5,3.5,3.5,3.5,3.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
13,0 0 0 1 1 0 1,0.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
14,0 0 0 1 1 1 0,0.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
15,0 0 0 1 1 1 1,0.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
16,0 0 1 0 0 0 0,1.5,9.5,9.5,1.5,9.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
17,0 0 1 0 0 0 1,0.5,9.5,9.5,0.5,9.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
