,drug vector,condensed weight
0,0 0 0 0 0 0,100.0
1,0 0 0 0 0 1,96.5909090909
2,0 0 0 0 1 0,79.5454545455
3,0 0 0 0 1 1,76.1363636364
4,0 0 0 1 0 0,46.5909090909
5,0 0 0 1 0 1,43.1818181818
6,0 0 0 1 1 0,19.3181818182
7,0 0 0 1 1 1,15.9090909091
8,0 0 1 0 0 0,89.2045454545
9,0 0 1 0 0 1,85.7954545455
10,0 0 1 0 1 0,71.5909090909
11,0 0 1 0 1 1,68.1818181818
12,0 0 1 1 0 0,42.6136363636
13,0 0 1 1 0 1,39.2045454545
14,0 0 1 1 1 0,19.3181818182
15,0 0 1 1 1 1,15.9090909091
16,0 1 0 0 0 0,78.4090909091
17,0 1 0 0 0 1,75.0
18,0 1 0 0 1 0,63.6363636364
19,0 1 0 0 1 1,60.2272727273
20,0 1 0 1 0 0,38.6363636364
21,0 1 0 1 0 1,35.2272727273
22,0 1 0 1 1 0,19.3181818182
23,0 1 0 1 1 1,15.9090909091
24,0 1 1 0 0 0,67.6136363636
25,0 1 1 0 0 1,64.2045454545
26,0 1 1 0 1 0,55.6818181818
27,0 1 1 0 1 1,52.2727272727
28,0 1 1 1 0 0,34.6590909091
29,0 1 1 1 0 1,31.25
30,0 1 1 1 1 0,19.3181818182
31,0 1 1 1 1 1,15.9090909091
32,1 0 0 0 0 0,67.6136363636
33,1 0 0 0 0 1,64.2045454545
34,1 0 0 0 1 0,55.6818181818
35,1 0 0 0 1 1,52.2727272727
36,1 0 0 1 0 0,34.6590909091
37,1 0 0 1 0 1,31.25
38,1 0 0 1 1 0,19.3181818182
39,1 0 0 1 1 1,15.9090909091
40,1 0 1 0 0 0,56.8181818182
41,1 0 1 0 0 1,53.4090909091
42,1 0 1 0 1 0,47.7272727273
43,1 0 1 0 1 1,44.3181818182
44,1 0 1 1 0 0,30.6818181818
45,1 0 1 1 0 1,27.2727272727
46,1 0 1 1 1 0,19.3181818182
47,1 0 1 1 1 1,15.9090909091
48,1 1 0 0 0 0,67.6136363636
49,1 1 0 0 0 1,64.2045454545
50,1 1 0 0 1 0,55.6818181818
51,1 1 0 0 1 1,52.2727272727
52,1 1 0 1 0 0,34.6590909091
53,1 1 0 1 0 1,31.25
54,1 1 0 1 1 0,19.3181818182
55,1 1 0 1 1 1,15.9090909091
56,1 1 1 0 0 0,56.8181818182
57,1 1 1 0 0 1,53.4090909091
58,1 1 1 0 1 0,47.7272727273
59,1 1 1 0 1 1,44.3181818182
60,1 1 1 1 0 0,30.6818181818
61,1 1 1 1 0 1,27.2727272727
62,1 1 1 1 1 0,19.3181818182
63,1 1 1 1 1 1,15.9090909091
