,Drug Vector,Encoded weightage
0,0 0 0 0 0 0,100.0
1,0 0 0 0 0 1,99.1778847729
2,0 0 0 0 1 0,87.3407356457
3,0 0 0 0 1 1,86.0469686548
4,0 0 0 1 0 0,48.5735809505
5,0 0 0 1 0 1,47.2798139596
6,0 0 0 1 1 0,36.0060266614
7,0 0 0 1 1 1,29.3963512495
8,0 0 1 0 0 0,93.8259473977
9,0 0 1 0 0 1,92.7778323671
10,0 0 1 0 1 0,82.172218401
11,0 0 1 0 1 1,80.6131472929
12,0 0 1 1 0 0,46.5756116734
13,0 0 1 1 0 1,45.0165405653
14,0 0 1 1 1 0,34.9415348334
15,0 0 1 1 1 1,28.6659460876
16,0 1 0 0 0 0,86.7347941437
17,0 1 0 0 0 1,85.4410271527
18,0 1 0 0 1 0,76.2798467132
19,0 1 0 0 1 1,74.4358193312
20,0 1 0 1 0 0,44.2566571681
21,0 1 0 1 0 1,42.4126297861
22,0 1 0 1 1 0,33.7755068619
23,0 1 0 1 1 1,27.8765844551
24,0 1 1 0 0 0,78.6643084078
25,0 1 1 0 0 1,77.1052372998
26,0 1 1 0 1 0,69.6177655498
27,0 1 1 0 1 1,67.469129737
28,0 1 1 1 0 0,41.5937899184
29,0 1 1 1 0 1,39.4451541057
30,0 1 1 1 1 0,32.5079427467
31,0 1 1 1 1 1,27.0282663522
32,1 0 0 0 0 0,78.6643084078
33,1 0 0 0 0 1,77.1052372998
34,1 0 0 0 1 0,69.6177655498
35,1 0 0 0 1 1,67.469129737
36,1 0 0 1 0 0,41.5937899184
37,1 0 0 1 0 1,39.4451541057
38,1 0 0 1 1 0,32.5079427467
39,1 0 0 1 1 1,27.0282663522
40,1 0 1 0 0 0,69.5522583604
41,1 0 1 0 0 1,67.7082309783
42,1 0 1 0 1 0,62.1401198782
43,1 0 1 0 1 1,59.6672234778
44,1 0 1 1 0 0,38.564082408
45,1 0 1 1 0 1,36.0911860077
46,1 0 1 1 1 0,31.138842488
47,1 0 1 1 1 1,26.1209917788
48,1 1 0 0 0 0,78.6643084078
49,1 1 0 0 0 1,77.1052372998
50,1 1 0 0 1 0,69.6177655498
51,1 1 0 0 1 1,67.469129737
52,1 1 0 1 0 0,41.5937899184
53,1 1 0 1 0 1,39.4451541057
54,1 1 0 1 1 0,32.5079427467
55,1 1 0 1 1 1,27.0282663522
56,1 1 1 0 0 0,69.5522583604
57,1 1 1 0 0 1,67.7082309783
58,1 1 1 0 1 0,62.1401198782
59,1 1 1 0 1 1,59.6672234778
60,1 1 1 1 0 0,38.564082408
61,1 1 1 1 0 1,36.0911860077
62,1 1 1 1 1 0,31.138842488
63,1 1 1 1 1 1,26.1209917788
