,drug vector,condensed weight
0,"DRG1,DRG2",101.136363636
1,"DRG1,DRG3",101.136363636
2,"DRG1,DRG4",101.136363636
3,"DRG1,DRG5",72.1590909091
4,"DRG1,DRG6",111.931818182
5,"DRG1,DRG7",61.3636363636
6,"DRG1,DRG8",87.5
7,"DRG1,DRG9",98.2954545455
8,"DRG1,DRG10",71.0227272727
9,"DRG1,DRG11",97.7272727273
10,"DRG1,DRG12",96.0227272727
11,"DRG1,DRG13",64.2045454545
12,"DRG1,DRG14",68.1818181818
13,"DRG1,DRG15",93.75
14,"DRG1,DRG16",57.3863636364
15,"DRG1,DRG17",66.4772727273
16,"DRG1,DRG18",81.25
17,"DRG1,DRG19",114.204545455
18,"DRG1,DRG20",113.068181818
19,"DRG1,DRG21",111.931818182
20,"DRG1,DRG22",111.931818182
21,"DRG1,DRG23",57.3863636364
22,"DRG1,DRG24",114.204545455
23,"DRG2,DRG3",101.136363636
24,"DRG2,DRG4",101.136363636
25,"DRG2,DRG5",72.1590909091
26,"DRG2,DRG6",111.931818182
27,"DRG2,DRG7",61.3636363636
28,"DRG2,DRG8",87.5
29,"DRG2,DRG9",98.2954545455
30,"DRG2,DRG10",71.0227272727
31,"DRG2,DRG11",97.7272727273
32,"DRG2,DRG12",96.0227272727
33,"DRG2,DRG13",64.2045454545
34,"DRG2,DRG14",68.1818181818
35,"DRG2,DRG15",93.75
36,"DRG2,DRG16",57.3863636364
37,"DRG2,DRG17",66.4772727273
38,"DRG2,DRG18",81.25
39,"DRG2,DRG19",114.204545455
40,"DRG2,DRG20",113.068181818
41,"DRG2,DRG21",111.931818182
42,"DRG2,DRG22",111.931818182
43,"DRG2,DRG23",57.3863636364
44,"DRG2,DRG24",114.204545455
45,"DRG3,DRG4",101.136363636
46,"DRG3,DRG5",70.4545454545
47,"DRG3,DRG6",111.931818182
48,"DRG3,DRG7",59.6590909091
49,"DRG3,DRG8",87.5
50,"DRG3,DRG9",98.2954545455
51,"DRG3,DRG10",71.0227272727
52,"DRG3,DRG11",97.7272727273
53,"DRG3,DRG12",96.0227272727
54,"DRG3,DRG13",64.2045454545
55,"DRG3,DRG14",68.1818181818
56,"DRG3,DRG15",93.75
57,"DRG3,DRG16",57.3863636364
58,"DRG3,DRG17",66.4772727273
59,"DRG3,DRG18",81.25
60,"DRG3,DRG19",114.204545455
61,"DRG3,DRG20",113.068181818
62,"DRG3,DRG21",111.931818182
63,"DRG3,DRG22",111.931818182
64,"DRG3,DRG23",57.3863636364
65,"DRG3,DRG24",114.204545455
66,"DRG4,DRG5",70.4545454545
67,"DRG4,DRG6",111.931818182
68,"DRG4,DRG7",59.6590909091
69,"DRG4,DRG8",87.5
70,"DRG4,DRG9",98.2954545455
71,"DRG4,DRG10",71.0227272727
72,"DRG4,DRG11",97.7272727273
73,"DRG4,DRG12",96.0227272727
74,"DRG4,DRG13",64.2045454545
75,"DRG4,DRG14",68.1818181818
76,"DRG4,DRG15",93.75
77,"DRG4,DRG16",57.3863636364
78,"DRG4,DRG17",66.4772727273
79,"DRG4,DRG18",81.25
80,"DRG4,DRG19",114.204545455
81,"DRG4,DRG20",113.068181818
82,"DRG4,DRG21",111.931818182
83,"DRG4,DRG22",111.931818182
84,"DRG4,DRG23",57.3863636364
85,"DRG4,DRG24",114.204545455
86,"DRG5,DRG6",70.4545454545
87,"DRG5,DRG7",61.3636363636
88,"DRG5,DRG8",47.7272727273
89,"DRG5,DRG9",67.6136363636
90,"DRG5,DRG10",58.5227272727
91,"DRG5,DRG11",65.9090909091
92,"DRG5,DRG12",65.3409090909
93,"DRG5,DRG13",51.7045454545
94,"DRG5,DRG14",36.3636363636
95,"DRG5,DRG15",63.0681818182
96,"DRG5,DRG16",44.8863636364
97,"DRG5,DRG17",34.6590909091
98,"DRG5,DRG18",51.7045454545
99,"DRG5,DRG19",76.7045454545
100,"DRG5,DRG20",74.4318181818
101,"DRG5,DRG21",72.1590909091
102,"DRG5,DRG22",72.1590909091
103,"DRG5,DRG23",44.8863636364
104,"DRG5,DRG24",76.7045454545
105,"DRG6,DRG7",59.6590909091
106,"DRG6,DRG8",96.5909090909
107,"DRG6,DRG9",106.818181818
108,"DRG6,DRG10",75.0
109,"DRG6,DRG11",105.681818182
110,"DRG6,DRG12",104.545454545
111,"DRG6,DRG13",68.1818181818
112,"DRG6,DRG14",76.1363636364
113,"DRG6,DRG15",102.272727273
114,"DRG6,DRG16",61.3636363636
115,"DRG6,DRG17",74.4318181818
116,"DRG6,DRG18",89.2045454545
117,"DRG6,DRG19",123.863636364
118,"DRG6,DRG20",123.295454545
119,"DRG6,DRG21",122.727272727
120,"DRG6,DRG22",122.727272727
121,"DRG6,DRG23",61.3636363636
122,"DRG6,DRG24",123.863636364
123,"DRG7,DRG8",36.9318181818
124,"DRG7,DRG9",59.0909090909
125,"DRG7,DRG10",54.5454545455
126,"DRG7,DRG11",57.9545454545
127,"DRG7,DRG12",56.8181818182
128,"DRG7,DRG13",47.7272727273
129,"DRG7,DRG14",28.4090909091
130,"DRG7,DRG15",54.5454545455
131,"DRG7,DRG16",40.9090909091
132,"DRG7,DRG17",26.7045454545
133,"DRG7,DRG18",43.75
134,"DRG7,DRG19",67.0454545455
135,"DRG7,DRG20",64.2045454545
136,"DRG7,DRG21",61.3636363636
137,"DRG7,DRG22",61.3636363636
138,"DRG7,DRG23",40.9090909091
139,"DRG7,DRG24",67.0454545455
140,"DRG8,DRG9",84.6590909091
141,"DRG8,DRG10",51.1363636364
142,"DRG8,DRG11",77.8409090909
143,"DRG8,DRG12",84.6590909091
144,"DRG8,DRG13",44.8863636364
145,"DRG8,DRG14",76.1363636364
146,"DRG8,DRG15",84.6590909091
147,"DRG8,DRG16",38.6363636364
148,"DRG8,DRG17",74.4318181818
149,"DRG8,DRG18",77.2727272727
150,"DRG8,DRG19",110.227272727
151,"DRG8,DRG20",110.795454545
152,"DRG8,DRG21",96.0227272727
153,"DRG8,DRG22",94.8863636364
154,"DRG8,DRG23",35.7954545455
155,"DRG8,DRG24",105.113636364
156,"DRG9,DRG10",59.0909090909
157,"DRG9,DRG11",93.1818181818
158,"DRG9,DRG12",104.545454545
159,"DRG9,DRG13",52.2727272727
160,"DRG9,DRG14",65.9090909091
161,"DRG9,DRG15",102.272727273
162,"DRG9,DRG16",45.4545454545
163,"DRG9,DRG17",64.2045454545
164,"DRG9,DRG18",77.2727272727
165,"DRG9,DRG19",107.954545455
166,"DRG9,DRG20",107.386363636
167,"DRG9,DRG21",106.818181818
168,"DRG9,DRG22",106.818181818
169,"DRG9,DRG23",61.3636363636
170,"DRG9,DRG24",107.954545455
171,"DRG10,DRG11",51.1363636364
172,"DRG10,DRG12",56.8181818182
173,"DRG10,DRG13",68.1818181818
174,"DRG10,DRG14",22.1590909091
175,"DRG10,DRG15",54.5454545455
176,"DRG10,DRG16",61.3636363636
177,"DRG10,DRG17",20.4545454545
178,"DRG10,DRG18",53.4090909091
179,"DRG10,DRG19",76.1363636364
180,"DRG10,DRG20",75.5681818182
181,"DRG10,DRG21",75.0
182,"DRG10,DRG22",75.0
183,"DRG10,DRG23",45.4545454545
184,"DRG10,DRG24",76.1363636364
185,"DRG11,DRG12",90.9090909091
186,"DRG11,DRG13",44.3181818182
187,"DRG11,DRG14",76.1363636364
188,"DRG11,DRG15",88.6363636364
189,"DRG11,DRG16",37.5
190,"DRG11,DRG17",74.4318181818
191,"DRG11,DRG18",89.2045454545
192,"DRG11,DRG19",106.818181818
193,"DRG11,DRG20",123.295454545
194,"DRG11,DRG21",105.681818182
195,"DRG11,DRG22",105.681818182
196,"DRG11,DRG23",40.9090909091
197,"DRG11,DRG24",106.818181818
198,"DRG12,DRG13",50.0
199,"DRG12,DRG14",65.9090909091
200,"DRG12,DRG15",102.272727273
201,"DRG12,DRG16",43.1818181818
202,"DRG12,DRG17",64.2045454545
203,"DRG12,DRG18",75.5681818182
204,"DRG12,DRG19",105.681818182
205,"DRG12,DRG20",105.113636364
206,"DRG12,DRG21",104.545454545
207,"DRG12,DRG22",104.545454545
208,"DRG12,DRG23",61.3636363636
209,"DRG12,DRG24",105.681818182
210,"DRG13,DRG14",15.9090909091
211,"DRG13,DRG15",47.7272727273
212,"DRG13,DRG16",61.3636363636
213,"DRG13,DRG17",14.2045454545
214,"DRG13,DRG18",48.2954545455
215,"DRG13,DRG19",69.3181818182
216,"DRG13,DRG20",68.75
217,"DRG13,DRG21",68.1818181818
218,"DRG13,DRG22",68.1818181818
219,"DRG13,DRG23",43.1818181818
220,"DRG13,DRG24",69.3181818182
221,"DRG14,DRG15",65.9090909091
222,"DRG14,DRG16",9.65909090909
223,"DRG14,DRG17",74.4318181818
224,"DRG14,DRG18",73.8636363636
225,"DRG14,DRG19",91.4772727273
226,"DRG14,DRG20",107.386363636
227,"DRG14,DRG21",73.8636363636
228,"DRG14,DRG22",72.7272727273
229,"DRG14,DRG23",10.2272727273
230,"DRG14,DRG24",86.3636363636
231,"DRG15,DRG16",40.9090909091
232,"DRG15,DRG17",64.2045454545
233,"DRG15,DRG18",73.8636363636
234,"DRG15,DRG19",103.409090909
235,"DRG15,DRG20",102.840909091
236,"DRG15,DRG21",102.272727273
237,"DRG15,DRG22",102.272727273
238,"DRG15,DRG23",61.3636363636
239,"DRG15,DRG24",103.409090909
240,"DRG16,DRG17",7.95454545455
241,"DRG16,DRG18",43.1818181818
242,"DRG16,DRG19",62.5
243,"DRG16,DRG20",61.9318181818
244,"DRG16,DRG21",61.3636363636
245,"DRG16,DRG22",61.3636363636
246,"DRG16,DRG23",40.9090909091
247,"DRG16,DRG24",62.5
248,"DRG17,DRG18",72.7272727273
249,"DRG17,DRG19",90.9090909091
250,"DRG17,DRG20",106.25
251,"DRG17,DRG21",72.1590909091
252,"DRG17,DRG22",71.0227272727
253,"DRG17,DRG23",8.52272727273
254,"DRG17,DRG24",85.7954545455
255,"DRG18,DRG19",90.3409090909
256,"DRG18,DRG20",123.295454545
257,"DRG18,DRG21",89.2045454545
258,"DRG18,DRG22",89.2045454545
259,"DRG18,DRG23",6.81818181818
260,"DRG18,DRG24",90.3409090909
261,"DRG19,DRG20",124.431818182
262,"DRG19,DRG21",122.727272727
263,"DRG19,DRG22",122.727272727
264,"DRG19,DRG23",61.3636363636
265,"DRG19,DRG24",123.863636364
266,"DRG20,DRG21",123.295454545
267,"DRG20,DRG22",123.295454545
268,"DRG20,DRG23",61.9318181818
269,"DRG20,DRG24",124.431818182
270,"DRG21,DRG22",122.727272727
271,"DRG21,DRG23",61.3636363636
272,"DRG21,DRG24",123.863636364
273,"DRG22,DRG23",61.3636363636
274,"DRG22,DRG24",123.863636364
275,"DRG23,DRG24",62.5
